data_bulan,data_tahun,nama,id_tps,alamat,kecamatan,kelurahan,jenis_fasilitas,thn_bangun,klasifikasi_struktur,klasifikasi_pengangkutan,tahun,status,kapasitas,vol_masuk,vol_dikelola,volume_sampah_diolah,vol_diangkut,waktu_angkut
3,2025,TPS Pasar Genteng,10,Jl. Genteng Besar,Kec. Genteng,Kel. Genteng,TPS,0,TPS,compactor,,aktif,26,26,26,26,26,1
3,2025,TPS Kayon,11,Jl. Kayon,Kec. Genteng,Kel. Embong Kaliasin,TPS,0,TPS,compactor,,aktif,19.8,19.8,19.8,19.8,19.8,1
3,2025,TPS Legundi,12,Jl. Anggrek,Kec. Ketabang,Kel. Ketabang,TPS,0,TPS,compactor,,aktif,29.7,29.7,29.7,29.7,29.7,1
3,2025,TPS Makam Peneleh,13,Jl. Makam Peneleh,Kec. Peneleh,Kel. Peneleh,TPS,0,TPS,compactor,,aktif,23.1,23.1,23.1,23.1,23.1,1
3,2025,TPS Kedondong,14,Jl. Kedondong,Kec. Tegalsari,Kel. Tegalsari,TPS,0,TPS,armroll,,aktif,42,42,42,42,42,1
3,2025,TPS Kedung Anyar,15,Jl. Kedung Anyar,Kec. Kedungdoro,Kel. Kedungdoro,TPS,0,TPS,compactor,,aktif,33,33,33,33,33,1
3,2025,TPS Pasar Kembang,16,Jl. Wonorejo III (Pasar kembang),Kec. Tegalsari,Kel. Wonorejo,TPS,0,TPS,compactor,,aktif,26.4,26.4,26.4,26.4,26.4,1
3,2025,RUKOM SONOKWIJENAN,,Jl. Darmo Baru Barat XII,Kec.  Sukomanunggal,Kel.  Sonokwijenan,Rumah Kompos,2019,Rumah Kompos,armroll,,aktif,20,3.922222222,3.922222222,3.922222222,,
3,2025,PLTSa Wonorejo,,Jl. Kendalsari - Wonorejo (Kebun Bibit Wonorejo),Kec.  Rungkut,Kel.  Wonorejo,PLTSa,2017,PLTSa,armroll,,tidak aktif,0,0,0,0,,
3,2025,TPS3R WARUGUNUNG,,Jl. Mastrip Warugunung,Kec.  Karangpilang,Kel.  Waru Gunung,TPS 3R,2019,TPS 3R,compactor,2020,aktif,20,2421.12,2421.12,1139.316667,0,
3,2025,RUKOM SRIKANA,,Jl. Srikana - Universitas Airlangga,Kec.  Gubeng,Kel.  Airlangga,Rumah Kompos,2008,Rumah Kompos,armroll,,aktif,14,0.111111111,0.111111111,0.111111111,,
3,2025,RUKOM RUNGKUT ASRI,,Jl. Rungkut Asri,Kec.  Rungkut,Kel.  Rungkut Kidul,Rumah Kompos,2013,Rumah Kompos,armroll,,aktif,20,13.58333333,13.58333333,13.58333333,,
3,2025,RUKOM TENGGILIS UTARA,,Jl. Tenggilis Utara,Kec.  Tenggilis Mejoyo,Kel.  Tenggilis Mejoyo,Rumah Kompos,2007,Rumah Kompos,armroll,,aktif,14,3.355555556,3.355555556,3.355555556,,
3,2025,RUKOM TENGGILIS RAYON TAMAN,,Jl. Tenggilis Tengah,Kec.  Tenggilis Mejoyo,Kel.  Tenggilis Mejoyo,Rumah Kompos,2010,Rumah Kompos,armroll,,aktif,14,4.261111111,4.261111111,4.261111111,,
3,2025,RUKOM BIBIS KARAH,,Jl. Depo Sampah Bibis Karah,Kec.  Jambangan,Kel.  Karah,Rumah Kompos,2010,Rumah Kompos,armroll,,aktif,14,2.244444444,2.244444444,2.244444444,,
3,2025,RUKOM TAMBAK WEDI,,Jl. Tambak Wedi Baru,Kec.  Kenjeran,Kel.  Tambak Wedi,Rumah Kompos,2017,Rumah Kompos,armroll,,aktif,8,4.444444444,4.444444444,4.444444444,,
3,2025,RUKOM TAMBAK DERES,,Jl. Kyai Tambak Deres,Kec.  Bulak,Kel.  Bulak,Rumah Kompos,2013,Rumah Kompos,armroll,,aktif,8,,,,,
3,2025,RUKOM GUNUNGSARI,,Jl. Golf 4 Komplek Marinir Gunungsari,Kec.  Dukuh Pakis,Kel.  Gunungsari,Rumah Kompos,2011,Rumah Kompos,armroll,,aktif,14,3.255555556,3.255555556,3.255555556,,
3,2025,RUKOM PUTAT,,Jl. Makam Putat Jaya,Kec.  Sawahan,Kel.  Putat Jaya,Rumah Kompos,2009,Rumah Kompos,armroll,,aktif,14,0.422222222,0.422222222,0.422222222,,
3,2025,RUKOM BRATANG,,Jl. Manyar,Kec.  Gubeng,Kel.  Baratajaya,Rumah Kompos,2001,Rumah Kompos,armroll,,aktif,40,11.37777778,11.37777778,11.37777778,,
3,2025,RUKOM GAYUNGSARI,,Jl. Gayungsari IV,Kec.  Gayungan,Kel.  Gayungan,Rumah Kompos,2008,Rumah Kompos,armroll,,aktif,8,2.755555556,2.755555556,2.755555556,,
3,2025,RUKOM TUBANAN,,Jl. Tubanan Tandes,Kec.  Tandes,Kel.  Tandes,Rumah Kompos,2013,Rumah Kompos,armroll,,aktif,14,0.922222222,0.922222222,0.922222222,,
3,2025,RUKOM RUNGKUT ASRI TIMUR (MERR),,Jl. Rungkut Asri Timur III,Kec.  Rungkut,Kel.  Rungkut Kidul,Rumah Kompos,2013,Rumah Kompos,armroll,,aktif,40,13.23333333,13.23333333,13.23333333,,
3,2025,RUKOM IPLT KEPUTIH,,Jl. Keputih Tegal (Area IPLT Keputih),Kec.  Sukolilo,Kel.  Keputih,Rumah Kompos,2015,Rumah Kompos,armroll,,aktif,14,6.522222222,6.522222222,6.522222222,,
3,2025,RUKOM BABAT JERAWAT,,Jl. Raya Babat Jerawat,Kec.  Pakal,Kel.  Babat Jerawat,Rumah Kompos,2014,Rumah Kompos,armroll,,aktif,14,3.944444444,3.944444444,3.944444444,,
