Nama,Alamat,Kelurahan,Kecamatan,Kapasitas,Volume Masuk,Volume Dikelola,Volume Sampah Diolah,Volume Diangkut,Latitude,Longitude
Rukom Medokan Ayu,Jl. Medokan Asri Tengah VI,Medokan Ayu,Rungkut,14,3,3,3,0,-7.3256915,112.8008963
TPS Kendal Sari Wonorejo,Jl. Kendalsari ( Barat Kebun Bibit ),Penjaringan Sari,Rungkut,16.5,16.5,16.5,16.5,16.5,-7.3178367,112.7866834
TPS Kendangsari Telkom,Jl. Raya Kendangsari,Penjaringan Sari,Rungkut,33,33,33,33,33,-7.3178367,112.7866834
TPS Penjaringan Sari,Jl. Pandugo,Penjaringansari,Rungkut,28,28,28,28,28,-7.3178367,112.7866834
TPS Rungkut Kidul (Pasar Pahing),Jl. Pasar Rungkut Kidul Pasar Pahing,Rungkut Kidul,Rungkut,28,28,28,28,28,-7.3293649,112.7722982
TPS Rungkut Asri Merr,Jl. Rungkut Asri,Rungkut Kidul,Rungkut,14,14,14,14,14,-7.3293649,112.7722982
Rukom Rungkut Asri,Jl. Rungkut Asri,Rungkut Kidul,Rungkut,20,13.6,13.6,13.6,0,-7.3293649,112.7722982
Rukom Rungkut Asri Timur (Merr),Jl. Rungkut Asri Timur III,Rungkut Kidul,Rungkut,40,13.2,13.2,13.2,0,-7.3293649,112.7722982
Rukom Wonorejo No. 2,Jl. Kendalsari - Wonorejo (Area Kebun Bibit Wonorejo),Wonorejo,Rungkut,60,26.5,26.5,26.5,0,-7.3102812,112.815267
Rukom Wonorejo,Jl. Kendalsari Kebun Bibit Wonorejo,Wonorejo,Rungkut,20,0.1,0.1,0.1,0,-7.3102812,112.815267
TPS Wonorejo,Jl. Raya Wonorejo,Wonorejo,Rungkut,26.4,26.4,26.4,26.4,26.4,-7.3102812,112.815267
TPS Alas Malang,Jl. Alas Malang,Bringin,Sambikerep,14,14,14,14,14,-7.2644698,112.6440689
TPS Bringin,Jl. Bringin,Bringin,Sambikerep,14,14,14,14,14,-7.2644698,112.6440689
TPS Sawo,Jl. Sawo No. 6,Bringin,Sambikerep,8,8,8,8,8,-7.2644698,112.6440689
TPS Candi Lontar,Jl. Lempung Sari,Lontar,Sambikerep,14,14,14,14,14,-7.2782064,112.6684446
TPS Lempung Perdana,Jl. Lontar,Lontar,Sambikerep,14,14,14,14,14,-7.2782064,112.6684446
TPS Kuwukan,Jl. Kuwukan Sambikerep,Sambikerep,Sambikerep,14,14,14,14,14,-7.2771669,112.6523073
TPS Simo Katrungan,Jl. Simo Katrungan,Banyu Urip,Sawahan,8,8,8,8,8,-7.2721443,112.7195078
TPS Kembang Kuning,Jl. Kembang Kuning,Darmo,Sawahan,42,42,42,42,42,-7.2907428,112.7179115
Landasan Bintang Diponggo,Jl. Bintang Diponggo,Pakis,Sawahan,28,28,28,28,28,-7.2864498,112.7222672
TPS Bukit Barisan,Jl. Bukit Barisan,Petemon,Sawahan,59.4,59.4,59.4,59.4,59.4,-7.2613953,112.7184525
TPS Petemon Kuburan,Jl. Petemon Kuburan,Petemon,Sawahan,8,8,8,8,8,-7.2613953,112.7184525
TPS Simo Kwagean (Mataram Utara),Jl. Makam Putat,Putat Jaya,Sawahan,28,28,28,28,28,-7.2766812,112.7163307
TPS Makam Mataram,Jl. Makam Putat Jaya,Putat Jaya,Sawahan,56,56,56,56,56,-7.2766812,112.7163307
Rukom Putat,Jl. Makam Putat Jaya,Putat Jaya,Sawahan,14,0.4,0.4,0.4,0,-7.2766812,112.7163307
TPS Pegirian,Jl. Pegirian,Sidotopo,Semampir,14,14,14,14,14,-7.2299725,112.7505235
TPS Jati Purwo,Jl. Jati Purwo,Ujung,Semampir,14,14,14,14,14,-7.2121829,112.7440507
TPS Jati Srono,Jl. Jati Srono,Ujung,Semampir,14,14,14,14,14,-7.2121829,112.7440507
TPS Mrutu Kalianyar,Jl. Mrutu Kalianyar,Wonokusumo,Semampir,14,14,14,14,14,-7.2181412,112.7546814
TPS Kendung BDH,Jl. Raya Kendung Benowo,Sememi,Sememi,19.8,19.8,19.8,19.8,19.8,-7.250198,112.6419156
TPS Kendung Makam,Jl. Sememi,Sememi,Sememi,14,14,14,14,14,-7.250198,112.6419156
Landasan Kertopaten,Jl. Kertopaten,Sidodadi,Simokerto,42,42,42,42,42,-7.2370472,112.7477525
TPS Kapasan,Jl. Pasar Kapasan,Sidodadi,Simokerto,14,14,14,14,14,-7.2370472,112.7477525
TPS Simolawang,Jl. Simolawang,Simolawang,Simokerto,28,28,28,28,28,-7.2336373,112.7483635
TPS Tambak Rejo,Jl. Tambak Rejo,Tambak Rejo,Simokerto,52.8,52.8,52.8,52.8,52.8,-7.2435993,112.7579716
TPS Gebang Putih,Jl. Gebang Putih,Gebang Putih,Sukolilo,14,14,14,14,14,-7.2817272,112.7869931
TPS ITS,Jl. Arif Rahman Hakim,Keputih,Sukolilo,14,14,14,14,14,-7.295096,112.7927717
TPS LPLT Keputih,Jl. Keputih Tegal,Keputih,Sukolilo,14,14,14,14,12,-7.295096,112.7927717
Rukom LPLT Keputih,Jl. Keputih Tegal (Area Iplt Keputih),Keputih,Sukolilo,14,6.5,6.5,6.5,0,-7.295096,112.7927717
Rukom Liponsos Keputih,Jl. Keputih Tegal No. 32,Keputih,Sukolilo,8,0.1,0.1,0.1,0,-7.295096,112.7927717
TPS Klampis Ngasem,Jl. Klampis Ngasem,Klampis Ngasem,Sukolilo,14,14,14,14,14,-7.288672,112.777086
TPS Semolowaru Bahari (Tpu Keputih),Jl. Medokan Keputih,Medokan Semampir,Sukolilo,14,14,14,14,14,-7.3062527,112.7847949
TPS Medokan Semampir,Jl. Medokan Semampir,Medokan Semampir,Sukolilo,14,14,14,14,14,-7.3062527,112.7847949
TPS Buktong,Jl. Menur - Manyar,Menur Pumpungan,Sukolilo,19.8,19.8,19.8,19.8,19.8,-7.2919238,112.7672637
TPS Aspol Nginden Intan,Jl. Nginden Intan Timur,Nginden Jangkungan,Sukolilo,14,14,14,14,14,-7.3041049,112.7673107
Rukom Nginden Jangkungan,Jl. Nginden Jangkungan,Nginden Jangkungan,Sukolilo,14,14,14,14,0,-7.3041049,112.7673107
TPS Semolowaru,Jl. Semolowaru,Semolowaru,Sukolilo,14,14,14,14,14,-7.3004075,112.7812994
TPS Putat Gede,Jl. Putat Gede Barat,Putat Gede,Sukomanunggal,28,28,28,28,28,-7.2872531,112.7017346
TPS Simohilir,Jl. Simo Hilir,Simo Mulyo,Sukomanunggal,8,8,8,8,8,-7.2712758,112.7033681
TPS Simorukun,Jl. Simo Mulyo,Simo Mulyo,Sukomanunggal,33,33,33,33,33,-7.2712758,112.7033681
Rukom Sonokwijenan,Jl. Darmo Baru Barat XII,Sonokwijenan,Sukomanunggal,20,3.9,3.9,3.9,0,-7.2798775,112.6993551
TPS Sonokwijenan,Jl. Sonokwijenan,Sonokwijenan,Sukomanunggal,28,28,28,28,28,-7.2798775,112.6993551
TPS Sukomanunggal,Jl. Suko Manunggal,Sukomanunggal,Sukomanunggal,14,14,14,14,14,-7.2617671,112.6973817
TPS Candi Puro,Jl. Candipuro,Pacar Keling,Tambaksari,14,14,14,14,14,-7.2613668,112.7553135
TPS Gubeng Masjid,Jl. Gubeng Masjid,Pacar Keling,Tambaksari,8,8,8,8,8,-7.2613668,112.7553135
TPS Gubeng Masjid Pasar,Jl. Gubeng Masjid,Pacar Keling,Tambaksari,8,8,8,8,8,-7.2613668,112.7553135
TPS Pasar Pacar Keling,Jl. Pacar Keling,Pacar Keling,Tambaksari,28,28,28,28,28,-7.2613668,112.7553135
TPS Petojo,Jl. Petojo,Pacar Keling,Tambaksari,8,8,8,8,8,-7.2613668,112.7553135
TPS Bogen,Jl. Bogen Tambaksari,Ploso,Tambaksari,39.6,39.6,39.6,39.6,39.6,-7.2537739,112.7716601
TPS Balongsari,Jl. Balongsari,Balongsari,Tandes,14,14,14,14,14,-7.2516604,112.6796715
TPS 3R Banjarsugihan,Jl. Banjarsugihan Gang Rolax,Banjar Sugihan,Tandes,20,0,0,0,0,-7.2526092,112.659658
TPS Tengger,Jl. Tengger Raya,Banjar Sugihan,Tandes,14,14,14,14,14,-7.2526092,112.659658
TPS Karangpoh,Jl. Darmo Indah Barat II,Karangpoh,Tandes,14,14,14,14,14,-7.2661933,112.6822479
TPS Tubanan,Jl. Tubanan,Karangpoh,Tandes,14,14,14,14,14,-7.2661933,112.6822479
TPS Manukan Kulon,Jl. Manukan Kulon,Manukan Kulon,Tandes,28,28,28,28,28,-7.2600153,112.6664211
TPS Manukan Kulon Baru,Jl. Manukan Kulon,Manukan Kulon,Tandes,14,14,14,14,14,-7.2600153,112.6664211
TPS Buntaran,Jl. Buntaran,Manukan Wetan,Tandes,14,14,14,14,14,-7.2466469,112.6695467
TPS Manukan Telaga,Jl. Manukan Peni VII,Manukan Wetan,Tandes,14,14,14,14,14,-7.2466469,112.6695467
TPS Manukan Wetan,Jl. Sikatan,Manukan Wetan,Tandes,8,8,8,8,8,-7.2466469,112.6695467
TPS Darmo Indah,Jl. Darmo Indah,Tandes,Tandes,14,14,14,14,14,-7.2588965,112.6870227
Rukom Tubanan,Jl. Tubanan Tandes,Tandes,Tandes,14,0.9,0.9,0.9,0,-7.2588965,112.6870227
Rukom Keputran,Jl. Keputran,Keputran,Tegalsari,14,11.3,11.3,11.3,0,-7.2822916,112.7427724
TPS Pasar Keputran,Jl. Keputran Utara,Keputran,Tegalsari,14,14,14,14,14,-7.2822916,112.7427724
TPS Dinoyo,Jl. Siliwangi,Keputran,Tegalsari,28,28,28,28,28,-7.2822916,112.7427724
TPS Kedondong,Jl. Kedondong,Tegalsari,Tegalsari,42,42,42,42,42,-7.2709683,112.7369761
TPS Pasar Kembang,Jl. Wonorejo III (Pasar Kembang),Wonorejo,Tegalsari,26.4,26.4,26.4,26.4,26.4,-7.2706933,112.7317884
TPS Kutisari PLN,Jl. Kutisari PLN,Kutisari,Tenggilis Mejoyo,28,28,28,28,28,-7.3359221,112.7483208
TPS Prapen DKK,Jl. Jemur Sari DKK,Panjang Jiwo,Tenggilis Mejoyo,19.8,19.8,19.8,19.8,19.8,-7.3121667,112.7614965
