Nama,Alamat,Kelurahan,Kecamatan,Kapasitas,Volume Masuk,Volume Dikelola,Volume Sampah Diolah,Volume Diangkut,Latitude,Longitude
TPS Purimas,Jl. Perum Purimas Gunung Anyar,Gunung Anyar,Gunung Anyar,28,28,28,28,28,-7.3390803,112.7890957
TPS Wiguna Timur,Jl. Wiguna Timur,Gunung Anyar,Gunung Anyar,14,14,14,14,14,-7.3390803,112.7890957
TPS Metro Merr,Jl. Sukarno Hatta (Pojok Merr Gunung Anyar),Rungkut Kidul,Gunung Anyar,9.9,9.9,9.9,9.9,9.9,-7.3312906,112.7687712
TPS Rungkut Menanggal,Jl. Rungkut Menanggal Harapan,Rungkut Menanggal,Gunung Anyar,14,14,14,14,14,-7.3381011,112.7680711
TPS Jambangan,Jl. Jambangan,Jambangan,Jambangan,28,28,28,28,28,-7.3189386,112.7146393
Rukom Jangkar,Jl. Jambangan Baru VI (Taman Jangkar),Jambangan,Jambangan,8,2.9,2.9,2.9,0,-7.3189386,112.7146393
Pemilahan Pdu Jambangan,Jl. Jambangan Kebon Agung,Jambangan,Jambangan,20,2003.7,2003.7,1370.4,0,-7.3189386,112.7146393
Rukom Jambangan,Jl. Kebon Agung No. 1,Jambangan,Jambangan,40,13.6,13.6,13.6,0,-7.3189386,112.7146393
Rukom Bibis Karah,Jl. Depo Sampah Bibis Karah,Karah,Jambangan,14,2.2,2.2,2.2,0,-7.3148614,112.720556
TPS Bibis Karah,Jl. Karah,Karah,Jambangan,14,14,14,14,14,-7.3148614,112.720556
TPS Pasar Kebonsari,Jl. Kebonsari Tengah,Kebonsari,Jambangan,14,14,14,14,14,-7.3265821,112.7149118
TPS Ketintang Baru Selatan,Jl. Ketintang Selatan,Ketintang,Jambangan,28,28,28,28,28,-7.3146051,112.721242
TPS 3R Karangpilang,Jl. Mastrip Gg. Surya,Karang Pilang,Karang Pilang,20,0,0,0,0,-7.3389592,112.6899507
TPS Karang Pilang Marinir (Ps. Hewan),Jl. Bumi Marinir,Karangpilang,Karang Pilang,14,14,14,14,14,-7.3396887,112.6892263
TPS Kebraon,Jl. Kebraon Selatan,Kebraon,Karang Pilang,28,28,28,28,28,-7.3296178,112.7004257
TPS Kemlaten,Jl. Mastrip,Kedurus,Karang Pilang,28,28,28,28,28,-7.3196971,112.7059449
TPS Bogangin,Jl. Mastrip,Kedurus,Karang Pilang,28,28,28,28,28,-7.3196971,112.7059449
TPS Pasar Kedurus,Jl. Pasar Kedurus,Kedurus,Karang Pilang,28,28,28,28,28,-7.3196971,112.7059449
TPS Rusunawa Warugunung,Jl. Mastrip Warugunung,Warugunung,Karang Pilang,14,14,14,14,14,-7.3419619,112.674171
TPS 3R Warugunung,Jl. Mastrip Warugunung,Warugunung,Karang Pilang,20,2421.1,2421.1,1139.3,0,-7.3419619,112.674171
TPS Kedung Anyar,Jl. Kedung Anyar,Kedungdoro,Kedungdoro,33,33,33,33,33,-7.2650663,112.730476
TPS Memet,Jl. Memet Sastro Wirya,Bulak,Kenjeran,14,14,14,14,14,-7.2058731,112.7639148
TPS Bulak Banteng Podomoro,Jl. Bulak Banteng Pasar Podomoro,Bulak Banteng,Kenjeran,26.4,26.4,26.4,26.4,26.4,-7.2090123,112.7664264
TPS Dukuh Bulak Banteng,Jl. Bulak Banteng Sekolahan,Bulak Banteng,Kenjeran,14,14,14,14,14,-7.2090123,112.7664264
TPS Bulak Banteng Timur,Jl. Bulak Banteng Timur,Bulak Banteng,Kenjeran,16,16,16,16,16,-7.2090123,112.7664264
Landasan Platuk,Jl. Dk Bulak Banteng,Bulak Banteng,Kenjeran,14,14,14,14,14,-7.2090123,112.7664264
TPS 3R Kedungcowek,Jl. Raya Kedung Cowek No. 1 (Jl. Akses Jl. Lingkar Luar Timur),Kedung Cowek,Kenjeran,20,675.5,675.5,349.2,0,-7.2188043,112.7777012
TPS Tanah Kali Kedinding,Jl. Tanah Kali Kedinding,Kedung Cowek,Kenjeran,28,28,28,28,28,-7.2188043,112.7777012
TPS THP Kenjeran,Jl. Kenjeran,Kenjeran,Kenjeran,14,14,14,14,14,-7.2339556,112.7848076
TPS Sidotopo Wetan Pasar,Pasar Sidotopo Wetan,Sidotopo Wetan,Kenjeran,28,28,28,28,28,-7.2214774,112.7626077
TPS 3R Tambakwedi,Jl. Kedung Cowek - Suramadu,Tambak Wedi,Kenjeran,20,20,20,20,0,-7.2113642,112.7749931
